window,draw_date,strategy,sample_size,best_main_matches,best_star_matches,hit_2_main_or_better,hit_3_main_or_better,hit_2_main_plus_1_star_or_better
Last 150 draws,2025-02-04,Pure random,800,2,1,True,False,True
Last 150 draws,2025-02-07,Era 3 diversified random,800,3,2,True,True,False
Last 150 draws,2025-02-07,Pat-alyzer v2 scored,800,2,1,True,False,False
Last 150 draws,2025-02-07,Hybrid-zone only,800,1,2,False,False,False
Last 150 draws,2025-02-07,Most-common-zone only,800,1,1,False,False,False
Last 150 draws,2025-02-07,Pure random,800,1,2,False,False,False
Last 150 draws,2025-02-11,Era 3 diversified random,800,1,1,False,False,False
Last 150 draws,2025-02-11,Pat-alyzer v2 scored,800,1,1,False,False,False
Last 150 draws,2025-02-11,Hybrid-zone only,800,1,1,False,False,False
Last 150 draws,2025-02-11,Most-common-zone only,800,2,1,True,False,False
Last 150 draws,2025-02-11,Pure random,800,1,1,False,False,False
Last 150 draws,2025-02-14,Era 3 diversified random,800,1,1,False,False,False
Last 150 draws,2025-02-14,Pat-alyzer v2 scored,800,0,1,False,False,False
Last 150 draws,2025-02-14,Hybrid-zone only,800,1,1,False,False,False
Last 150 draws,2025-02-14,Most-common-zone only,800,1,2,False,False,False
Last 150 draws,2025-02-14,Pure random,800,2,1,True,False,False
Last 150 draws,2025-02-18,Era 3 diversified random,800,1,2,False,False,False
Last 150 draws,2025-02-18,Pat-alyzer v2 scored,800,2,1,True,False,False
Last 150 draws,2025-02-18,Hybrid-zone only,800,3,1,True,True,True
Last 150 draws,2025-02-18,Most-common-zone only,800,2,1,True,False,False
Last 150 draws,2025-02-18,Pure random,800,1,2,False,False,False
Last 150 draws,2025-02-21,Era 3 diversified random,800,1,1,False,False,False
Last 150 draws,2025-02-21,Pat-alyzer v2 scored,800,2,1,True,False,False
